inningsno,battingteam,playername,playerkey,runs,balls,fours,sixes,sr,howout,opponent,batpos,tournamentkey,matchid,source
1,JNS SUPREMOS (ISDT 8.0),Abhishek Pingley,abhishek pingley,1.0,2.0,0.0,0.0,50.0,c † Rishi P b Shivanand N,OIS BLASTERS (ISDT 8.0),6,zooterisdt8,3831,playwright
1,JNS SUPREMOS (ISDT 8.0),Kanav Hingorani,kanav hingorani,53.0,29.0,5.0,1.0,182.76,not out,OIS BLASTERS (ISDT 8.0),7,zooterisdt8,3831,playwright
1,JNS SUPREMOS (ISDT 8.0),Varun Sood,varun sood,10.0,8.0,1.0,0.0,125.0,run out ( Amitraj B / Gautam M ),OIS BLASTERS (ISDT 8.0),8,zooterisdt8,3831,playwright
1,JNS SUPREMOS (ISDT 8.0),Pratik Chitalia,pratik chitalia,21.0,19.0,2.0,0.0,110.53,c Ashish L b Sadiq L,JBCN AVENGERS (ISDT 8.0),1,zooterisdt8,3933,playwright
1,JNS SUPREMOS (ISDT 8.0),Lavesh Kalsekar,lavesh kalsekar,15.0,10.0,2.0,0.0,150.0,St Ribhu D b Vaseem L,JBCN AVENGERS (ISDT 8.0),2,zooterisdt8,3933,playwright
1,JNS SUPREMOS (ISDT 8.0),Jay Kedia,jay kedia,19.0,17.0,1.0,0.0,111.76,lbw b Vineet K,JBCN AVENGERS (ISDT 8.0),3,zooterisdt8,3933,playwright
1,JNS SUPREMOS (ISDT 8.0),Dr. Manaan Gandhi,dr manaan gandhi,16.0,19.0,2.0,0.0,84.21,c Rayed M b Muddassar V,JBCN AVENGERS (ISDT 8.0),4,zooterisdt8,3933,playwright
1,JNS SUPREMOS (ISDT 8.0),Rahul Agarwal,rahul agarwal,7.0,9.0,1.0,0.0,77.78,c † Ribhu D b Muddassar V,JBCN AVENGERS (ISDT 8.0),5,zooterisdt8,3933,playwright
1,JNS SUPREMOS (ISDT 8.0),Abhishek Pingley,abhishek pingley,17.0,22.0,0.0,0.0,77.27,not out,JBCN AVENGERS (ISDT 8.0),6,zooterisdt8,3933,playwright
1,JNS SUPREMOS (ISDT 8.0),Kanav Hingorani,kanav hingorani,44.0,24.0,2.0,3.0,183.33,c Fahim A b Rayed M,JBCN AVENGERS (ISDT 8.0),7,zooterisdt8,3933,playwright
2,JNS SUPREMOS,Dr. Manaan Gandhi,dr manaan gandhi,18.0,17.0,3.0,0.0,105.88,b Mittal J,SVKM SUPER STRIKERS,1,jfscdpl202526,5418,playwright
2,JNS SUPREMOS,Pratik Chitalia,pratik chitalia,1.0,3.0,0.0,0.0,33.33,b Mittal J,SVKM SUPER STRIKERS,2,jfscdpl202526,5418,playwright
2,JNS SUPREMOS,Jay Kedia,jay kedia,1.0,3.0,0.0,0.0,33.33,run out ( Varun S / Mittal J ),SVKM SUPER STRIKERS,3,jfscdpl202526,5418,playwright
2,JNS SUPREMOS,Varun Sood,varun sood,22.0,31.0,2.0,0.0,70.97,Retired Out,SVKM SUPER STRIKERS,4,jfscdpl202526,5418,playwright
2,JNS SUPREMOS,Rahul Agarwal,rahul agarwal,29.0,20.0,4.0,0.0,145.0,c&b Raj G,SVKM SUPER STRIKERS,5,jfscdpl202526,5418,playwright
