tournamentkey,matchid,source,inningsno,bowlingteam,opponent,bowlername,playerkey,overs,maidens,runsconceded,wickets,econ
jfscdpl202526,5418,playwright,1,JNS SUPREMOS,SVKM SUPER STRIKERS,Aditya Jain,aditya jain,4.0,0.0,42.0,0.0,10.5
jfscdpl202526,5418,playwright,1,JNS SUPREMOS,SVKM SUPER STRIKERS,Kanav Hingorani,kanav hingorani,2.0,0.0,27.0,0.0,13.5
jfscdpl202526,5418,playwright,1,JNS SUPREMOS,SVKM SUPER STRIKERS,Abhishek Pingley,abhishek pingley,3.0,0.0,39.0,0.0,13.0
jfscdpl202526,5418,playwright,1,JNS SUPREMOS,SVKM SUPER STRIKERS,Varun Sood,varun sood,4.0,0.0,29.0,1.0,7.25
jfscdpl202526,5418,playwright,1,JNS SUPREMOS,SVKM SUPER STRIKERS,Pritesh Magodia,pritesh magodia,3.0,0.0,26.0,0.0,8.67
jfscdpl202526,5444,playwright,1,JNS SUPREMOS,JNS RANGERS,Vishal .,vishal ,4.0,0.0,26.0,1.0,6.5
jfscdpl202526,5444,playwright,1,JNS SUPREMOS,JNS RANGERS,Aditya Jain,aditya jain,4.0,0.0,20.0,1.0,5.0
jfscdpl202526,5444,playwright,1,JNS SUPREMOS,JNS RANGERS,Kanav Hingorani,kanav hingorani,3.0,0.0,25.0,0.0,8.33
jfscdpl202526,5444,playwright,1,JNS SUPREMOS,JNS RANGERS,Varun Sood,varun sood,3.0,0.0,25.0,0.0,8.33
jfscdpl202526,5444,playwright,1,JNS SUPREMOS,JNS RANGERS,Abhishek Pingley,abhishek pingley,3.0,0.0,28.0,0.0,9.33
jfscdpl202526,5444,playwright,1,JNS SUPREMOS,JNS RANGERS,Pritesh Magodia,pritesh magodia,3.0,0.0,29.0,1.0,9.67
jfscdpl202526,5474,playwright,1,JNS SUPREMOS,SVKM RISING STRIKERS,Vishal .,vishal ,4.0,0.0,16.0,3.0,4.0
jfscdpl202526,5474,playwright,1,JNS SUPREMOS,SVKM RISING STRIKERS,Pradeep Tewani,pradeep tewani,3.0,0.0,37.0,0.0,12.33
jfscdpl202526,5474,playwright,1,JNS SUPREMOS,SVKM RISING STRIKERS,Kanav Hingorani,kanav hingorani,4.0,0.0,28.0,0.0,7.0
jfscdpl202526,5474,playwright,1,JNS SUPREMOS,SVKM RISING STRIKERS,Varun Sood,varun sood,3.0,0.0,26.0,1.0,8.67
jfscdpl202526,5474,playwright,1,JNS SUPREMOS,SVKM RISING STRIKERS,Abhishek Pingley,abhishek pingley,3.0,0.0,28.0,0.0,9.33
jfscdpl202526,5474,playwright,1,JNS SUPREMOS,SVKM RISING STRIKERS,Pritesh Magodia,pritesh magodia,3.0,0.0,29.0,2.0,9.67
jfscdpl202526,5525,playwright,1,JNS SUPREMOS,AVM ARYANS,Vishal .,vishal ,4.0,0.0,26.0,3.0,6.5
jfscdpl202526,5525,playwright,1,JNS SUPREMOS,AVM ARYANS,Pradeep Tewani,pradeep tewani,4.0,0.0,43.0,1.0,10.75
jfscdpl202526,5525,playwright,1,JNS SUPREMOS,AVM ARYANS,Varun Sood,varun sood,3.0,0.0,33.0,0.0,11.0
jfscdpl202526,5525,playwright,1,JNS SUPREMOS,AVM ARYANS,Aditya Jain,aditya jain,4.0,0.0,36.0,1.0,9.0
jfscdpl202526,5525,playwright,1,JNS SUPREMOS,AVM ARYANS,Pritesh Magodia,pritesh magodia,2.0,0.0,16.0,0.0,8.0
jfscdpl202526,5525,playwright,1,JNS SUPREMOS,AVM ARYANS,Kanav Hingorani,kanav hingorani,3.0,0.0,39.0,0.0,13.0
jfscdpl202526,5537,playwright,2,JNS SUPREMOS,AVM YODDHAS,Vishal .,vishal ,3.0,0.0,23.0,1.0,7.67
jfscdpl202526,5537,playwright,2,JNS SUPREMOS,AVM YODDHAS,Pradeep Tewani,pradeep tewani,2.0,0.0,17.0,0.0,8.5
jfscdpl202526,5537,playwright,2,JNS SUPREMOS,AVM YODDHAS,Aditya Jain,aditya jain,3.0,0.0,35.0,1.0,11.67
jfscdpl202526,5537,playwright,2,JNS SUPREMOS,AVM YODDHAS,Varun Sood,varun sood,2.0,0.0,18.0,2.0,9.0
jfscdpl202526,5537,playwright,2,JNS SUPREMOS,AVM YODDHAS,Abhishek Pingley,abhishek pingley,2.0,0.0,25.0,0.0,12.5
jfscdpl202526,5537,playwright,2,JNS SUPREMOS,AVM YODDHAS,Pritesh Magodia,pritesh magodia,2.0,0.0,17.0,0.0,8.5
jfscdpl202526,5537,playwright,2,JNS SUPREMOS,AVM YODDHAS,Jairaj B,jairaj b,2.0,0.0,16.0,0.0,8.0
jfscdpl202526,5537,playwright,2,JNS SUPREMOS,AVM YODDHAS,Romit Mehta,romit mehta,2.1,0.0,18.0,0.0,8.31
jfscdpl202526,5553,playwright,2,JNS SUPREMOS,OIS TIGERS,Vishal .,vishal ,4.0,0.0,21.0,1.0,5.25
jfscdpl202526,5553,playwright,2,JNS SUPREMOS,OIS TIGERS,Pradeep Tewani,pradeep tewani,3.0,0.0,26.0,1.0,8.67
jfscdpl202526,5553,playwright,2,JNS SUPREMOS,OIS TIGERS,Varun Sood,varun sood,4.0,0.0,18.0,0.0,4.5
jfscdpl202526,5553,playwright,2,JNS SUPREMOS,OIS TIGERS,Aditya Jain,aditya jain,3.1,0.0,37.0,1.0,11.68
jfscdpl202526,5553,playwright,2,JNS SUPREMOS,OIS TIGERS,Abhishek Pingley,abhishek pingley,1.0,0.0,15.0,0.0,15.0
jfscdpl202526,5553,playwright,2,JNS SUPREMOS,OIS TIGERS,Pritesh Magodia,pritesh magodia,1.0,0.0,10.0,0.0,10.0
jfscdpl202526,5553,playwright,2,JNS SUPREMOS,OIS TIGERS,Romit Mehta,romit mehta,1.0,0.0,18.0,0.0,18.0
jfscdpl202526,5770,playwright,2,JNS SUPREMOS,UNITED GLADDIATORS,Vishal .,vishal ,4.0,0.0,31.0,3.0,7.75
jfscdpl202526,5770,playwright,2,JNS SUPREMOS,UNITED GLADDIATORS,Pradeep Tewani,pradeep tewani,4.0,0.0,43.0,3.0,10.75
